2014-06-30 03:53:21 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 03:53:21 Debug: Notice (8): Undefined variable: imagestems in [E:\xampp\htdocs\websitetemplate\app\views\temshop\index.ctp, line 34]
2014-06-30 03:54:38 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 03:54:38 Debug: Notice (8): Undefined variable: imagestems in [E:\xampp\htdocs\websitetemplate\app\views\temshop\index.ctp, line 34]
2014-06-30 04:04:55 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 04:04:55 Debug: Notice (8): Undefined variable: imagestems in [E:\xampp\htdocs\websitetemplate\app\views\temshop\index.ctp, line 34]
2014-06-30 04:05:01 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 04:05:01 Debug: Notice (8): Undefined variable: imagestems in [E:\xampp\htdocs\websitetemplate\app\views\temshop\index.ctp, line 34]
2014-06-30 04:08:19 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 04:09:16 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 04:12:04 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 04:12:45 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 04:13:00 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 04:13:35 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
